name_old,name_new,track,title,artist
Theme_121,121 Na Na Natsu!,121,Na Na Natsu!,Nor
Theme_122,122 Underwater Jungle,122,Underwater Jungle,
Theme_123,123 Luxury Cool,123,Luxury Cool,Nor
Theme_124,124 TOMODACHI SUMMER,124,TOMODACHI SUMMER,Mitsukiyo
Theme_125,125 Kaphar,125,Kaphar,Mitsukiyo
Theme_125_Blank,125 Kaphar (Blank),125,Kaphar (Blank),Mitsukiyo
Theme_126,126 Theme 126 (Unassigned),126,Theme 126,
Theme_127,127 Wave & Conquer,127,Wave & Conquer,KARUT
Theme_128,128 After School Dessert,128,After School Dessert,KARUT
Theme_129,129 Let me think about it,129,Let me think about it,KARUT
Theme_130,130 Foolish Days,130,Foolish Days,KARUT
Theme_131,131 Shooting Athletes,131,Shooting Athletes,KARUT
Theme_132,132 Raise the Huddle,132,Raise the Huddle,Nor
Theme_133,133 Goal Wo Nerae!,133,Goal Wo Nerae!,KARUT
Theme_134,134 Gestalt Angst,134,Gestalt Angst,Mitsukiyo
Theme_135,135 Fruitful Blossom,135,Fruitful Blossom,Mitsukiyo
Theme_136,136 Kyrie Eleison,136,Kyrie Eleison,Mitsukiyo
Theme_136_Short,136 Kyrie Eleison (Short),136,Kyrie Eleison (Short),Mitsukiyo
Theme_136_Song,136 Kyrie Eleison (Song),136,Kyrie Eleison (Song),Mitsukiyo
Theme_137,137 Theme 137,137,Theme 137,Nor
Theme_138,138 Utaha No Uta,138,Utaha No Uta,KARUT
Theme_139,139 Cherry Berry Merry,139,Cherry Berry Merry,Mitsukiyo
Theme_140,140 Defective Pixel,140,Defective Pixel,Mitsukiyo
Theme_141,141 Tasty New Year,141,Tasty New Year,Nor
Theme_142,142 Encroached Sky,142,Encroached Sky,KARUT
Theme_142_Short,142 Encroached Sky (Short),142,Encroached Sky (Short),KARUT
Theme_143,143 !? WAS IT A CAT I SAW ?!,143,!? WAS IT A CAT I SAW ?!,KARUT
Theme_144,144 Theme 144 (Unassigned),144,Theme 144,
Theme_145,145 Hinagesi,145,Hinagesi,Nor
Theme_146,146 Theme 146 (Unassigned),146,Theme 146,
Theme_147,147 Theme 147 (Unassigned),147,Theme 147,
Theme_148,148 Polyphonic,148,Polyphonic,Nor
Theme_149,149 Ark in the Blood Sky,149,Ark in the Blood Sky,KARUT
Theme_150,150 System All Green,150,System All Green,KARUT
Theme_151,151 Kaiten Hurricane!!!,151,Kaiten Hurricane!!!,KARUT
Theme_151_Short,151 Kaiten Hurricane!!! (Short),151,Kaiten Hurricane!!! (Short),KARUT
Theme_151_VeryShort,151 Kaiten Hurricane!!! (VeryShort),151,Kaiten Hurricane!!! (VeryShort),KARUT
Theme_152,152 Aoharu (Band Arrange),152,Aoharu (Band Arrange),Mitsukiyo
Theme_153,153 Theme 153,153,Theme 153,
Theme_154_Title,154 Our New Story,154,Our New Story,Mitsukiyo
Theme_155,155 Responsibility,155,Responsibility,Nor
Theme_156,156 Final Destination of Ark,156,Final Destination of Ark,KARUT
Theme_157,157 Step of Terror,157,Step of Terror,KARUT
Theme_158,158 Gregorius Symphony,158,Gregorius | Symphony,Mitsukiyo
Theme_158_Chorus,158 Gregorius Symphony (Chorus),158,Gregorius | Symphony (Chorus),Mitsukiyo
Theme_158_Intro,158 Gregorius Symphony (Intro),158,Gregorius | Symphony (Intro),Mitsukiyo
Theme_158_Verse,158 Gregorius Symphony (Verse),158,Gregorius | Symphony (Verse),Mitsukiyo
Theme_159,159 Operation DOTABATA,159,Operation☆DOTABATA,Mitsukiyo
Theme_160,160 Noble Hallway,160,Noble Hallway,Nor
Theme_161,161 Oriental Bounce,161,Oriental Bounce,KARUT
Theme_162,162 Welcome School,162,Welcome School,Mitsukiyo
Theme_163,163 Trigger For Ambition,163,Trigger For Ambition,KARUT
Theme_164,164 Kitsunebi,164,Kitsunebi,KARUT
Theme_165,165 Up to 21C,165,Up to 21°C,Nor
Theme_166,166 Theme 166 (Unassigned),166,Theme 166,
Theme_167,167 Hidden Treasure,167,Hidden Treasure,Mitsukiyo
Theme_168,168 Hunter Bible,168,Hunter Bible,Nor
Theme_169,169 OTKPARA!,169,OTKPARA!,KARUT
Theme_170,170 Container Corner,170,Container Corner,KARUT
Theme_171,171 Rendezvous,171,Rendezvous,KARUT
Theme_172,172 Rendezvous (Recorder),172,Rendezvous (Recorder),KARUT
Theme_173,173 Takaramonogatari,173,Takaramonogatari,Mitsukiyo
Theme_174,174 Tok9 Train,174,Tok9 Train,Nor
Theme_175,175 HIGH-VELOCITY,175,HIGH-VELOCITY,Aiobahn
Theme_176,176 Illuminated Night,176,Illuminated Night,KARUT
Theme_177,177 Illuminated Night (Hard Arrange),177,Illuminated Night (Hard Arrange),KARUT
Theme_178,178 Tsukikage,178,Tsukikage,Nor
Theme_179,179 Yumeji no hana,179,Yumeji no hana,Mitsukiyo
Theme_179_Inst,179 Yumeji no hana (Instrumental),179,Yumeji no hana (Instrumental),Mitsukiyo
Theme_179_Inst2,179 Yumeji no hana (Instrumental 2),179,Yumeji no hana (Instrumental 2),Mitsukiyo
Theme_179_Short,179 Yumeji no hana (Short),179,Yumeji no hana (Short),Mitsukiyo
Theme_179_Short_Inst,179 Yumeji no hana (Short Instrumental),179,Yumeji no hana (Short Instrumental),Mitsukiyo
Theme_180,180 Irodori Canvas,180,Irodori Canvas,Mitsukiyo
Theme_180_Inst,180 Irodori Canvas (Instrumental),180,Irodori Canvas (Instrumental),Mitsukiyo
Theme_181,181 Dark Shadows,181,Dark Shadows,KARUT
Theme_181_Chorus,181 Dark Shadows (Chorus),181,Dark Shadows (Chorus),KARUT
Theme_181_Verse,181 Dark Shadows (Verse),181,Dark Shadows (Verse),KARUT
Theme_182,182 Theme 182,182,Theme 182,Nor
Theme_183,183 Indoor Outdoor,183,Indoor Outdoor,Nor
Theme_184,184 Theme 184 (Unassigned),184,Theme 184,
Theme_185,185 Tomodachi OneStep,185,Tomodachi OneStep,Mitsukiyo
Theme_185_Inst,185 Tomodachi OneStep (Instrumental),185,Tomodachi OneStep (Instrumental),Mitsukiyo
Theme_185_Short,185 Tomodachi OneStep (Short),185,Tomodachi OneStep (Short),Mitsukiyo
Theme_185_Short_Inst,185 Tomodachi OneStep (Short Instrumental),185,Tomodachi OneStep (Short Instrumental),Mitsukiyo
Theme_186,186 Theme 186,186,Theme 186,Mitsukiyo
Theme_187,187 Action 68,187,Action 68,KARUT
Theme_188,188 Dreaming Trip,188,Dreaming Trip,EmoCosine
Theme_189,189 Bluemark Canvas,189,Bluemark Canvas,Mitsukiyo
Theme_190,190 Dancing Falsehood,190,Dancing Falsehood,Mitsukiyo
Theme_191,191 F1ghtback,191,F1ghtback,KARUT
Theme_192,192 Chilling Out,192,Chilling Out,Nor
Theme_193,193 Starry Confession,193,Starry Confession,Synthion
Theme_194,194 Ridiculous,194,Ridiculous,Mitsukiyo
Theme_195,195 Nichirin,195,Nichirin,Nor
Theme_196,196 Getsurin,196,Getsurin,Nor
Theme_197,197 SHANHAIJING Tragicomedy,197,SHANHAIJING Tragicomedy,KARUT
Theme_198,198 Theme 198,198,Theme 198,Mitsukiyo
Theme_199,199 Yumeji Party,199,Yumeji Party,Mitsukiyo
Theme_200,200 Theme 200 (Unassigned),200,Theme 200,
Theme_201,201 Serene Scenario,201,Serene Scenario,Mitsukiyo
Theme_202,202 Theme 202,202,Theme 202,
Theme_203,203 Realm Rumble,203,Realm Rumble,Mitsukiyo
Theme_204,204 Ramune Lagoon,204,Ramune Lagoon,YUC'e
Theme_205,205 Summer Attack!,205,Summer Attack!,EmoCosine
Theme_206,206 Let me go Seaside,206,Let me go Seaside,KARUT
Theme_207,207 HIGH5LANDER,207,HIGH5LANDER,Nor
Theme_208,208 Shoujo Delight,208,Shoujo Delight,Mitsukiyo
Theme_209,209 Theme 209,209,Theme 209,Mitsukiyo
Theme_210,210 Theme 210,210,Theme 210,
Theme_211,211 Theme 211 (Unassigned),211,Theme 211,
Theme_212,212 Fury of Set,212,Fury of Set,KARUT
Theme_213,213 Theme 213 (Unassigned),213,Theme 213,
Theme_214,214 Theme 214,214,Theme 214,
Theme_215,215 Theme 215,215,Theme 215,
Theme_216,216 Miracle,216,Miracle,Nor
Theme_217,217 Shoujo Sorrow,217,Shoujo Sorrow,Mitsukiyo
Theme_218,218 Achromatic Prism,218,Achromatic Prism,Mitsukiyo
Theme_219,219 Theme 219,219,Theme 219,KARUT
Theme_220,220 Dazzle Everyday,220,Dazzle Everyday,Mitsukiyo
Theme_221,221 U mak3 m3 smil3,221,U mak3 m3 smil3,KARUT
Theme_222,222 Candy Step,222,Candy Step,Nor
Theme_223,223 Scarlet Chrysanthemum,223,Scarlet Chrysanthemum,Airuei
Theme_224,224 Flip Flap Festival!,224,Flip Flap Festival!,Synthion
Theme_225,225 Theme 225,225,Theme 225,
Theme_226,226 Tremendous Celebration,226,Tremendous Celebration,7mai
Theme_227,227 Theme 227 (Unassigned),227,Theme 227,
Theme_228,228 0k@eri,228,0k@eri,Mitsukiyo
Theme_229,229 Sudden Onset Disaster,229,Sudden Onset Disaster,KARUT
Theme_230,230 Theme 230 (Unassigned),230,Theme 230,
Theme_231,231 Theme 231 (Unassigned),231,Theme 231,
Theme_232,232 Theme 232,232,Theme 232,
Theme_233,233 Theme 233,233,Theme 233,
Theme_234,234 U-nI,234,U-n.I,Mitsukiyo
Theme_235,235 Sugary Holiday,235,Sugary Holiday,EmoCosine
Theme_236,236 PAJAMA Sleep Over,236,P.A.J.A.M.A Sleep Over,KARUT
Theme_237,237 Theme 237,237,Theme 237,EmoCosine
Theme_238,238 Theme 238 (Unassigned),238,Theme 238,
Theme_239,239 Theme 239,239,Theme 239,
Theme_240,240 Theme 240,240,Theme 240,
Theme_241,241 Theme 241,241,Theme 241,
Theme_242,242 Theme 242,242,Theme 242,
Theme_243,243 Theme 243 (Unassigned),243,Theme 243,
Theme_244,244 Theme 244,244,Theme 244,EmoCosine
Theme_245,245 Expo Festa,245,Expo Festa,EmoCosine
Theme_246,246 Theme 246 (Unassigned),246,Theme 246,
Theme_247,247 Theme 247,247,Theme 247,
Theme_248,248 Theme 248 (Unassigned),248,Theme 248,
Theme_249,249 Theme 249 (Unassigned),249,Theme 249,
Theme_250,250 Theme 250,250,Theme 250,
Theme_251,251 Theme 251,251,Theme 251,
Theme_252,252 Theme 252,252,Theme 252,
Theme_253,253 Theme 253,253,Theme 253,
Theme_254,254 Theme 254 (Unassigned),254,Theme 254,
Theme_255,255 Theme 255,255,Theme 255,
Theme_256,256 Theme 256,256,Theme 256,
Theme_257,257 Theme 257,257,Theme 257,
Theme_258,258 Theme 258,258,Theme 258,
Theme_259,259 Theme 259 (Unassigned),259,Theme 259,
Theme_260,260 Theme 260 (Unassigned),260,Theme 260,
Theme_261,261 Theme 261,261,Theme 261,
Theme_262,262 Theme 262,262,Theme 262,
Theme_263,263 Theme 263,263,Theme 263,
Theme_264,264 Breaking Silence,264,Breaking Silence,
Theme_265,265 Theme 265,265,Theme 265,
Theme_266,266 Theme 266,266,Theme 266,
Theme_267,267 Theme 267,267,Theme 267,
Theme_268,268 Love Story,268,Love Story,EmoCosine
Theme_269,269 Theme 269 (Unassigned),269,Theme 269,
Theme_270,270 Theme 270 (Unassigned),270,Theme 270,
Theme_271,271 Theme 271 (Unassigned),271,Theme 271,
Theme_272,272 Theme 272 (Unassigned),272,Theme 272,
Theme_273,273 Theme 273 (Unassigned),273,Theme 273,
Theme_274,274 Theme 274,274,Theme 274,
Theme_275,275 Theme 275,275,Theme 275,
Theme_276,276 Theme 276,276,Theme 276,
Theme_277,277 Theme 277 (Unassigned),277,Theme 277,
Theme_278,278 Theme 278 (Unassigned),278,Theme 278,
Theme_279,279 Theme 279 (Unassigned),279,Theme 279,
Theme_280,280 Theme 280 (Unassigned),280,Theme 280,
Theme_281,281 Theme 281 (Unassigned),281,Theme 281,
Theme_282,282 Theme 282 (Unassigned),282,Theme 282,
Theme_283,283 Theme 283 (Unassigned),283,Theme 283,
Theme_284,284 Theme 284 (Unassigned),284,Theme 284,
Theme_285,285 Theme 285 (Unassigned),285,Theme 285,
Theme_286,286 Theme 286 (Unassigned),286,Theme 286,
Theme_287,287 Theme 287 (Unassigned),287,Theme 287,
Theme_288,288 Theme 288 (Unassigned),288,Theme 288,
Theme_289,289 Theme 289 (Unassigned),289,Theme 289,
Theme_290,290 Theme 290 (Unassigned),290,Theme 290,
Theme_291,291 Theme 291 (Unassigned),291,Theme 291,
Theme_292,292 Theme 292 (Unassigned),292,Theme 292,
Theme_293,293 Theme 293 (Unassigned),293,Theme 293,
Theme_294,294 Theme 294 (Unassigned),294,Theme 294,
Theme_295,295 Theme 295 (Unassigned),295,Theme 295,
Theme_296,296 Theme 296 (Unassigned),296,Theme 296,
Theme_297,297 Theme 297 (Unassigned),297,Theme 297,
Theme_298,298 Theme 298 (Unassigned),298,Theme 298,
Theme_299,299 Theme 299 (Unassigned),299,Theme 299,
Theme_300,300 Theme 300 (Unassigned),300,Theme 300,
